,node0,node1,weight
1058,amazed,astounded,1
1059,amazed,disturb,2
1060,amazed,dazed,2
1061,amazed,astonish,1
1062,amazed,put,2
1063,amazed,beat,1
1064,amazed,stupefied,2
1065,amazed,bond,2
1066,amazed,bother,2
1067,trust,wanted,2
1068,trust,dedicated,2
1069,trust,trusting,1
1070,trust,giving,2
1071,trust,hope,1
1072,trust,wanting,2
1073,trust,attached,2
1074,trust,devoted,2
1075,trust,committed,1
1076,trust,trustful,2
1077,trust,confidence,1
1078,trust,hoping,1
1079,trust,trusted,1
1080,trust,sure,2
1081,trust,united,2
1082,trust,desired,1
1083,trust,want,2
1084,trust,entrusting,1
1085,trust,thinking,1
1086,trust,put,2
1087,trust,believed,1
1088,trust,promise,2
1089,love,knowledgeable,2
1090,love,better,2
1091,love,cheated,2
1092,love,wise,2
1093,love,enjoying,1
1094,love,complete,2
1095,love,enjoyed,1
1096,love,enjoy,1
1097,love,rage,2
1098,love,delight,2
1099,love,experienced,2
1100,love,passion,1
1101,love,learned,2
1102,love,acknowledged,2
1103,love,costly,2
1104,love,done,2
1105,love,wiser,2
1106,love,reveled,2
1107,love,beloved,1
1108,love,warmth,2
1109,love,thrill,2
1110,love,belts,2
1111,love,knowing,1
1112,love,earnest,2
1113,love,recognized,2
1114,panicked,panic,1
1115,panicked,terror,2
1116,panicked,scare,2
1117,panicked,panicky,1
1118,panicked,fright,2
1119,panicked,frighten,2
1120,caring,concern,2
1121,caring,worry,1
1122,caring,trouble,2
1123,caring,fondness,2
1124,caring,want,2
1125,caring,plenty,2
1126,caring,same,2
1127,caring,warmth,2
1128,caring,mess,2
1129,caring,caution,2
1130,caring,attention,2
1131,uncertain,shy,2
1132,uncertain,unsettled,1
1133,uncertain,timid,2
1134,fulfilled,satisfy,1
1135,fulfilled,fit,2
1136,sympathetic,charitable,1
1137,sympathetic,benevolent,1
1138,desperate,terrible,2
1139,desperate,despair,1
1140,desperate,heroic,0
1141,desperate,dread,2
1142,desperate,awful,2
1143,desperate,despairing,0
1144,desperate,dreadful,2
1145,desperate,epic,1
1146,helpless,lost,1
1147,helpless,disoriented,2
1148,helpless,bewildered,2
1149,helpless,doomed,2
1150,helpless,preoccupied,2
1151,helpless,missed,2
1152,helpless,baffled,2
1153,comfortable,slow,2
1154,comfortable,leisurely,1
1155,comfortable,prosperous,1
1156,comfortable,loose,2
1157,comfortable,easygoing,1
1158,comfortable,promiscuous,1
1159,mischievous,pissed,2
1160,mischievous,terrible,2
1161,mischievous,disgusting,2
1162,mischievous,yucky,2
1163,mischievous,soaked,2
1164,mischievous,loaded,2
1165,mischievous,loathsome,2
1166,mischievous,distasteful,2
1167,mischievous,besotted,2
1168,mischievous,wet,2
1169,mischievous,stiff,2
1170,awe,concern,2
1171,awe,awestruck,1
1172,awe,amazing,2
1173,awe,awesome,2
1174,awe,dread,2
1175,awe,awful,2
1176,awe,feared,2
1177,awe,awed,0
1178,awe,fright,2
1179,impressed,depression,2
1180,impressed,prompt,2
1181,impressed,discover,2
1182,safe,strong,2
1183,safe,full,2
1184,safe,secure,1
1185,safe,assured,2
1186,safe,better,1
1187,safe,broke,2
1188,safe,improved,2
1189,safe,serious,2
1190,safe,secured,2
1191,safe,broken,2
1192,safe,honest,1
